time,tecnico,vitorias_como_mandante,empates_como_mandante,derrotas_como_mandante,vitorias_como_visitantes,empates_como_visitantes,derrotas_como_visitantes
Internacional,Dorival Júnior,10.0,5.0,2.0,3.0,6.0,5.0
EC Bahia,Falcão,1.0,2.0,2.0,,2.0,3.0
Sport Recife,Givanildo Oliveira,,,2.0,,1.0,
Figueirense FC,Alexandre Gallo,5.0,2.0,1.0,1.0,4.0,2.0
Criciúma EC,Luizinho Vieira,,1.0,,,1.0,1.0
Grêmio,Vagner Mancini,5.0,1.0,1.0,1.0,1.0,5.0
Flamengo,Rogério Ceni,10.0,1.0,4.0,5.0,2.0,4.0
Athletico-PR,Lucho González,1.0,,1.0,,,3.0
Internacional,Falcão,1.0,2.0,4.0,2.0,3.0,2.0
Figueirense FC,Mário Sérgio,6.0,4.0,4.0,1.0,3.0,9.0
Botafogo,Joel Santana,8.0,10.0,1.0,5.0,7.0,5.0
Coritiba FC,Tcheco,1.0,,,1.0,1.0,
Fluminense,Enderson Moreira,6.0,2.0,5.0,4.0,2.0,7.0
Criciúma EC,Vadão,4.0,1.0,3.0,,1.0,6.0
Fluminense,Marcelo Oliveira,5.0,4.0,3.0,2.0,2.0,8.0
Sport Recife,Milton Mendes,4.0,1.0,1.0,1.0,2.0,3.0
Atlético-GO,Doriva,1.0,1.0,3.0,,1.0,4.0
EC Vitória,Alexandre Gallo,,1.0,3.0,2.0,,3.0
Palmeiras,Caio Júnior,9.0,3.0,6.0,6.0,6.0,6.0
Flamengo,Filipe Luís,1.0,,1.0,1.0,,
EC Bahia,Caio Júnior,,4.0,1.0,2.0,,2.0
Fluminense,Abel Braga,32.0,13.0,20.0,23.0,16.0,25.0
Palmeiras,Antônio Carlos Zago,1.0,,,,1.0,
Internacional,Eduardo Coudet,12.0,9.0,6.0,10.0,7.0,10.0
Ipatinga FC,Enderson Moreira,1.0,,1.0,,1.0,2.0
Juventude,Jair Ventura,6.0,3.0,3.0,2.0,4.0,8.0
Avaí FC,Antônio Lopes,3.0,1.0,4.0,,4.0,3.0
Juventude,Eduardo Baptista,1.0,2.0,3.0,1.0,2.0,1.0
Flamengo,Mano Menezes,3.0,4.0,2.0,2.0,1.0,4.0
Internacional,Diego Aguirre,12.0,6.0,6.0,4.0,10.0,10.0
Sport Recife,Gustavo Florentín,4.0,3.0,3.0,2.0,1.0,6.0
Sport Recife,Claudinei Oliveira,3.0,3.0,2.0,2.0,1.0,4.0
Sport Recife,Geninho,8.0,3.0,3.0,3.0,3.0,9.0
EC Bahia,Charles,2.0,,2.0,1.0,1.0,1.0
Goiás EC,Enderson Moreira,9.0,8.0,6.0,6.0,6.0,12.0
