tecnico,vitorias,derrotas,gols_feitos,gols_sofridos
Orlando Ribeiro,4,7,15,17
Leandro Niehues,1,3,7,12
William Batista,1,2,1,3
Cristóvão Borges,64,50,202,184
Daniel Paulista,9,10,28,32
Dimas Filgueiras,6,8,29,37
Levir Culpi,61,38,182,146
Tico dos Santos,3,1,9,2
Pedro Caixinha,24,22,80,72
Márcio Araújo,2,6,13,21
Marcelo Martelotte,7,17,40,62
Hudson Coutinho,5,5,16,15
Abel Ribeiro,1,1,3,3
Tuca Guimarães,2,4,6,12
Zé Ricardo,50,34,150,129
Andrey Lopes,4,1,13,3
Cauan Almeida,2,1,4,3
Antônio Carlos Zago,2,9,15,28
Felipe Moreira,3,5,7,7
Milton Cruz,6,3,19,15
Paulo César Carpegiani,47,42,146,147
Vinícius Eutrópio,14,27,43,70
Sérgio Baresi,5,4,19,21
Edson Pimenta,1,4,10,15
Mauro Fernandes,1,4,10,15
Doriva,13,30,58,93
Ramon Menezes,5,4,17,17
Vadão,16,18,62,60
Marquinhos Santos,46,62,157,180
Flávio Campos,2,1,5,5
Gabriel Milito,10,8,39,40
Paulo Turra,6,7,22,27
Maurício Souza,2,2,5,6
Paulo Autuori,46,46,149,140
Juca,3,6,10,14
Jair Ventura,64,84,198,241
João Paulo Sanches,8,9,29,28
Sérgio Guedes,8,8,33,33
Gustavo Morínigo,8,15,32,47
Claudio Prates,1,2,6,8
Emerson Leão,19,30,89,96
Tite,124,67,367,244
Maurício Barbieri,52,43,192,169
Fernando Diniz,71,61,238,215
Jorginho,14,20,48,55
Pintado,7,11,32,39
Fabián Bustos,5,13,36,43
Giba,2,8,18,30
Milton Mendes,27,35,81,105
Vagner Mancini,28,41,108,139
Celso Rodrigues,7,6,19,20
Sérgio Vieira,2,8,4,17
Renê Simões,19,33,94,114
Carlos Alberto Parreira,2,4,8,13
Danny Sérgio,2,4,9,13
Saulo Freitas,2,5,6,13
Luiz Felipe Scolari,90,66,277,228
Fabrício Bento,2,1,6,4
Bernardo Franco,2,3,4,6
Emerson Cris,5,6,15,18
Falcão,14,17,55,56
Julinho Camargo,5,9,19,22
Gaúcho,3,1,10,7
Rafael Paiva,9,6,24,21
Abel Braga,99,73,309,266
Pachequinho,11,12,35,38
Roberto Fernandes,21,26,85,87
Leandro Machado,3,9,15,26
Pepa,6,8,20,20
Marcos Paquetá,1,4,1,10
Vágner Benazzi,13,21,59,77
Zetti,3,4,12,14
Adriano Teixeira,2,2,9,10
Marcelo Rospide,2,7,11,18
Valdir Espinosa,3,2,13,10
Joel Santana,43,26,134,106
Goiano,2,2,9,7
Luís Castro,25,17,61,50
Dunga,7,7,34,36
Ricardo Silva,2,5,11,15
Arthur Neto,2,14,15,39
Luis Zubeldía,14,6,36,24
Vizolli,2,1,6,5
Émerson Ávila,2,11,13,29
Renato Gaúcho,136,103,460,365
Sérgio Soares,9,12,31,38
Petit,3,8,20,24
Alessandro,1,2,3,3
Tiago Nunes,34,31,127,101
Vítor Pereira,16,9,41,36
Mário Henrique,1,3,2,4
Celso Roth,95,94,306,304
Dejan Petkovic,1,4,4,6
Marcão,25,20,65,57
Jayme de Almeida,8,13,29,38
Vanderlei Luxemburgo,150,128,496,463
Toninho Cecílio,8,19,47,65
Hélio dos Anjos,26,37,115,130
Guilherme Macuglia,1,3,3,13
Charles,3,3,8,8
Umberto Louzer,7,26,26,66
Gilmar,3,11,16,26
Thiago Larghi,14,11,52,40
Eduardo Coudet,27,18,89,66
Toni Oliveira,28,39,90,100
Guto Ferreira,62,84,225,263
Nelsinho Baptista,16,21,63,67
Coelho,4,6,16,16
Bruno Lage,3,3,14,9
Rogério Ceni,75,67,246,210
Abel Ferreira,82,34,247,133
Caio Júnior,63,52,214,198
Eduardo Barros,6,5,14,13
Mano Menezes,162,113,466,406
Fabiano Soares,10,10,33,27
Sylvinho,13,11,35,33
Rogério Lourenço,4,5,11,11
Reinaldo Rueda,8,7,22,17
Roger Machado,70,52,225,191
Alexandre Gallo,36,48,138,175
Miguel Ángel Portugal,3,2,15,12
Bruno Lazaroni,4,2,13,10
Diogo Giacomini,2,5,8,14
Jorge Sampaoli,51,24,156,108
Muricy Ramalho,126,66,394,274
Tita,2,4,9,14
Osmar Loss,5,10,13,18
Jorge Fossati,1,2,6,7
Domènec Torrent,10,5,33,29
Paulo César Gusmão,28,33,101,117
Ricardo Drubscky,18,29,61,79
Marcelo Cabo,12,13,35,46
Zé Teodoro,1,5,5,13
Zé Augusto,1,4,4,8
Thiago Kosloski,8,14,31,43
Jairo,5,8,25,33
Ricardo Sá Pinto,2,5,8,17
Juan Pablo Vojvoda,61,46,173,158
Odair Hellmann,43,27,117,92
Silas,18,20,86,89
Lori Sandri,3,4,12,20
Andrade,14,5,38,22
Diego Aguirre,32,25,98,90
Cuca,186,105,582,443
Juan Carlos Osorio,11,8,31,28
Estevam Soares,14,16,69,67
Fernando Seabra,11,8,31,23
Glauber Ramos,8,9,22,32
Oswaldo de Oliveira,62,55,222,197
Wagner Lopes,4,6,8,20
Givanildo Oliveira,9,17,47,63
Alberto Valentim,27,39,91,116
Clemer,3,5,14,15
Preto Casagrande,3,3,11,11
Vágner Mancini,111,139,420,472
Eduardo Souza,7,9,24,31
Filipe Luís,2,1,6,4
Rodrigo Santana,9,16,34,44
Lisca,14,22,41,56
Lucho González,2,9,12,20
Paulo Sousa,3,4,10,10
Ricardo Colbachini,1,2,2,3
Armando Evangelista,6,9,25,31
Ney Franco,87,90,310,332
Fábio Carille,43,24,107,80
Eduardo Baptista,49,65,164,200
Márcio Bittencourt,4,9,11,22
Renato Portaluppi,36,15,117,78
Antônio Lopes,26,35,116,126
Thiago Carpini,8,13,26,34
Adilson Batista,64,63,217,213
Antonio Mohamed,8,2,26,18
Diego Cerri,3,6,12,19
Luiz Fernando Iubel,1,8,4,18
Artur Jorge,19,4,47,23
Elano,5,3,12,10
Diego Dabove,1,3,6,10
Renato Paiva,5,9,23,27
Gustavo Florentín,6,9,16,22
Hernán Crespo,6,7,20,25
André Jardine,3,4,7,9
Raphael Laruccia,1,2,3,7
Cláudio Tencati,7,12,34,42
Raul Cabral,2,1,5,5
Fernandão,9,9,31,28
Dorival Júnior,165,129,562,477
Marconne Montenegro,1,1,3,2
Ricardo Gareca,2,9,7,18
Dado Cavalcanti,10,17,41,52
Ramón Díaz,15,15,54,54
Enderson Moreira,67,89,212,252
Wesley Carvalho,10,5,38,28
Argel Fucks,52,61,157,186
Márcio Fernandes,7,5,23,20
Claudinei Oliveira,47,56,131,165
Márcio Goiano,5,11,21,36
Péricles Chamusca,9,19,43,56
Beto Almeida,5,12,20,41
Sílvio Criciúma,3,4,10,11
Marcelo Oliveira,118,98,412,351
Eduardo Barroca,21,41,66,105
Ivo Vieira,1,3,5,10
Marcelo Chamusca,1,7,10,20
Martín Varini,1,5,7,13
Marcelo Fernandes,9,13,34,49
Mário Sérgio,14,26,62,87
Paulo Bonamigo,7,8,23,26
Edgardo Bauza,4,7,17,19
Jorge Jesus,23,2,71,28
Rogério Micale,6,15,20,38
Gilson Kleina,41,64,157,206
Fábio Giuntini,1,8,9,24
Waldemar Lemos,8,11,29,45
Lúcio Flávio,3,7,17,23
Geninho,38,60,156,194
Felipe Tigrão,1,3,6,10
