ano_campeonato,time,vitorias_como_mandante,empates_como_mandante,derrotas_como_mandante,vitorias_como_visitante,empates_como_visitante,derrotas_como_visitante
2003,Criciúma EC,13.0,2.0,4.0,3.0,5.0,11
2003,Vasco da Gama,10.0,6.0,3.0,1.0,6.0,12
2003,Coritiba FC,12.0,4.0,3.0,7.0,4.0,8
2003,Ponte Preta,6.0,9.0,4.0,4.0,5.0,10
2003,Atlético-PR,11.0,3.0,5.0,1.0,5.0,13
2003,Fortaleza,8.0,5.0,6.0,2.0,5.0,12
2003,São Caetano,12.0,5.0,2.0,3.0,9.0,7
2003,Goiás EC,9.0,7.0,3.0,5.0,4.0,10
2003,Paysandu SC,11.0,6.0,2.0,2.0,5.0,12
2003,EC Vitória,10.0,4.0,5.0,4.0,5.0,10
2003,Cruzeiro,13.0,5.0,1.0,10.0,2.0,7
2003,São Paulo,10.0,5.0,4.0,7.0,6.0,6
2003,Fluminense,8.0,6.0,5.0,2.0,3.0,14
2003,Atlético-MG,11.0,4.0,4.0,5.0,10.0,4
2003,Paraná,12.0,4.0,3.0,3.0,4.0,12
2003,Guarani,13.0,3.0,3.0,2.0,6.0,11
2003,Grêmio,7.0,6.0,6.0,2.0,4.0,13
2003,EC Bahia,10.0,5.0,4.0,,4.0,15
2003,Corinthians,10.0,3.0,6.0,3.0,8.0,8
2003,Figueirense FC,7.0,8.0,4.0,5.0,5.0,9
2003,Juventude,6.0,9.0,4.0,3.0,3.0,13
2003,Santos FC,12.0,5.0,2.0,8.0,5.0,6
2003,Flamengo,11.0,4.0,4.0,3.0,6.0,10
2003,Internacional,12.0,4.0,3.0,5.0,3.0,11
2004,Atlético-MG,7.0,7.0,5.0,2.0,8.0,9
2004,Santos FC,14.0,2.0,3.0,7.0,4.0,8
2004,Cruzeiro,10.0,3.0,6.0,4.0,5.0,10
2004,Juventude,8.0,7.0,4.0,10.0,1.0,8
2004,Guarani,6.0,8.0,5.0,2.0,6.0,11
2004,Botafogo,5.0,11.0,3.0,3.0,5.0,11
2004,Grêmio,6.0,7.0,6.0,2.0,4.0,13
2004,Ponte Preta,10.0,4.0,5.0,7.0,2.0,10
2004,Paraná,9.0,2.0,8.0,2.0,6.0,11
2004,Palmeiras,10.0,5.0,4.0,8.0,6.0,5
2004,Criciúma EC,10.0,4.0,5.0,2.0,4.0,13
2004,EC Vitória,11.0,4.0,4.0,1.0,3.0,15
2004,Atlético-PR,13.0,4.0,2.0,7.0,5.0,7
2004,Vasco da Gama,8.0,3.0,8.0,5.0,6.0,8
2004,Goiás EC,13.0,4.0,2.0,5.0,3.0,11
2004,São Caetano,12.0,3.0,4.0,7.0,5.0,7
2004,Corinthians,9.0,6.0,4.0,6.0,7.0,6
2004,Flamengo,8.0,5.0,6.0,2.0,7.0,10
2004,São Paulo,14.0,4.0,1.0,6.0,4.0,9
2004,Paysandu SC,11.0,4.0,4.0,1.0,6.0,12
2004,Coritiba FC,8.0,5.0,6.0,4.0,9.0,6
